Task,Feature-Model Config,Acc/%,F1/%,Sen/%,Spe/%,AUC/%,Training Time/s
PD,CTCAIT_h1,89.78 (1.41),89.63 (1.77),89.91 (5.79),91.03 (5.19),96.86 (1.12),176.23 (22.36)
PD,CTCAIT_h2,91.39 (1.52),91.23 (2.09),91.90 (4.34),91.75 (4.82),97.44 (0.83),183.35 (19.03)
PD,CTCAIT_h3,91.00 (1.69),90.81 (2.30),91.15 (4.51),92.12 (6.16),97.36 (0.83),171.75 (9.61)
PD,CTCAIT_h4,92.06 (1.90),91.92 (2.54),93.24 (3.46),91.93 (5.71),97.45 (1.04),158.57 (7.41)
PD,CTCAIT_h5,90.50 (1.83),90.49 (2.00),91.64 (4.80),90.64 (5.75),97.35 (0.62),189.09 (32.82)
PD,CTCAIT_h6,90.89 (2.43),90.65 (3.21),91.75 (4.35),90.91 (5.81),97.68 (0.72),200.63 (31.37)
PD,CTCAIT_h7,90.67 (0.94),90.49 (1.47),90.45 (5.62),92.00 (4.41),97.33 (0.60),225.95 (17.14)
PD,CTCAIT_h8,90.50 (2.30),90.33 (2.96),91.25 (4.40),90.83 (6.25),97.43 (0.45),269.48 (26.27)
