Task,Feature-Model Config,Acc/%,F1/%,Sen/%,Spe/%,AUC/%,Training Time/s
PD,CTCAIT_dropT,91.28 (2.17),91.25 (2.40),92.18 (4.55),91.62 (5.33),97.26 (1.64),115.63 (1.63)
PD,CTCAIT_dropC,90.56 (2.18),90.46 (2.41),91.15 (5.41),91.19 (5.48),97.23 (0.80),118.59 (3.33)
PD,CTCAIT_dropTC,90.39 (2.27),90.25 (2.28),89.97 (5.43),92.05 (6.01),97.05 (1.54),114.63 (3.31)
PD,CTCAIT_dropR,90.89 (1.26),90.83 (1.95),92.46 (3.95),90.43 (4.97),97.06 (1.12),128.30 (4.67)
PD,IT,90.67 (2.97),90.69 (3.38),92.87 (3.46),89.66 (7.17),96.94 (1.30),111.70 (4.11)
PD,CTCA,87.89 (1.54),87.67 (2.27),87.80 (4.13),89.13 (5.81),95.16 (2.04),129.99 (15.97)
PD,CTCAIT,92.06 (1.90),91.92 (2.54),93.24 (3.46),91.93 (5.71),97.45 (1.04),125.43 (1.23)
