Task,Feature-Model Config,Acc/%,F1/%,Sen/%,Spe/%,AUC/%,Training Time/s
PD,DMFCC-CEEMDAN,76.22 (3.95),76.20 (3.90),75.80 (6.14),77.53 (6.63),84.60 (2.98),3.05 (0.09)
PD,BiLSTM-Attention,89.89 (2.37),89.77 (2.82),90.56 (4.92),90.65 (7.40),96.33 (2.02),141.95 (3.83)
PD,CTCAIT,92.06 (1.90),91.92 (2.54),93.24 (3.46),91.93 (5.71),97.45 (1.04),125.43 (1.23)
SI,DMFCC-CEEMDAN,73.87 (3.68),74.23 (4.23),75.32 (7.31),73.40 (7.90),82.22 (3.06),3.34 (0.10)
SI,BiLSTM-Attention,87.83 (3.09),87.15 (3.86),85.67 (7.79),90.78 (7.43),95.60 (2.32),141.15 (0.93)
SI,CTCAIT,90.94 (3.49),90.90 (3.81),93.20 (3.15),89.55 (6.56),97.18 (1.43),124.35 (1.25)
