Task,Feature-Model Config,Acc/%,F1/%,Sen/%,Spe/%,AUC/%,Training Time/s
PD,CTCAIT_d1,90.22 (2.64),90.08 (2.93),90.54 (4.86),91.10 (5.65),96.73 (1.32),126.96 (20.69)
PD,CTCAIT_d2,89.89 (2.60),89.82 (3.45),92.56 (4.17),88.17 (5.31),96.61 (1.26),121.58 (20.00)
PD,CTCAIT_d3,89.39 (1.63),89.17 (2.20),89.02 (5.95),90.92 (4.54),96.77 (0.47),148.69 (9.42)
PD,CTCAIT_d4,90.78 (3.11),90.58 (3.75),91.96 (3.71),90.51 (6.17),96.93 (1.38),149.52 (4.62)
PD,CTCAIT_d5,92.06 (1.90),91.92 (2.54),93.24 (3.46),91.93 (5.71),97.45 (1.04),163.28 (12.40)
PD,CTCAIT_d6,90.83 (1.54),90.76 (2.06),91.86 (3.93),91.02 (5.32),97.20 (0.79),192.52 (17.66)
PD,CTCAIT_d7,90.44 (1.12),90.25 (1.73),90.22 (5.20),91.84 (4.58),97.34 (0.62),218.75 (28.11)
PD,CTCAIT_d8,91.78 (1.93),91.55 (2.42),92.06 (4.52),92.34 (4.06),97.38 (1.08),243.72 (5.86)
